codec_a,codec_b,bd_rate,bd_rate_e,bd_volume,pareto_hv,epsilon,bd_rate_n_valid,bd_rate_e_n_valid,bd_volume_n_valid,pareto_hv_n_valid,epsilon_n_valid
dcvc_dc,dcvc_fm,-11.931035062771826,,,0.40453057755909944,0.005721549466223592,7,0,0,7,7
dcvc_dc,dcvc_rt,-12.09368774249854,,,0.9800552395338309,0.060776872703453215,7,0,0,7,7
dcvc_dc,dcvc_rt_cuda,-12.031439025783826,,,0.9824333941184907,0.0611906147294338,7,0,0,7,7
dcvc_dc,svtav1,32652816417.48189,,,0.9864076472639318,0.05248104138470152,7,0,0,7,7
dcvc_dc,vvenc,-11.872848946459703,,,0.9849006877456282,0.012283177610260923,7,0,0,7,7
dcvc_dc,x264,220.69625425829162,,,0.9886021394441432,0.17534540192626316,7,0,0,7,7
dcvc_dc,x265,109.59945213544677,,,0.9895227157284955,0.15915580667057386,7,0,0,7,7
dcvc_fm,dcvc_dc,17.62158259713161,,,-0.40453057755909944,0.5025609785592448,7,0,0,7,7
dcvc_fm,dcvc_rt,68.9301864179549,,,0.9643496015766468,0.09333679708794583,7,0,0,7,7
dcvc_fm,dcvc_rt_cuda,70.10889804911822,,,0.9686357646331529,0.09474272019615178,7,0,0,7,7
dcvc_fm,svtav1,200350289.57798463,,,0.9766403637527473,0.5063074151749352,7,0,0,7,7
dcvc_fm,vvenc,3.918272069442807,,,0.9743457311998039,0.20911694816130735,7,0,0,7,7
dcvc_fm,x264,344.98704013783885,,,0.9797051320517578,0.46313667917780965,7,0,0,7,7
dcvc_fm,x265,175.19624319294672,,,0.9815603726120442,0.3483202465867582,7,0,0,7,7
dcvc_rt,dcvc_dc,19.35978589600199,,,-0.9800552395338309,0.4315745999753792,7,0,0,7,7
dcvc_rt,dcvc_fm,-15.889255710151614,,,-0.9643496015766468,0.31477280747716013,7,0,0,7,7
dcvc_rt,dcvc_rt_cuda,0.773034043342556,,,0.12127849705503009,0.0029074981018315594,7,0,0,7,7
dcvc_rt,svtav1,153325421.60065606,,,0.34917427340575585,0.43526800363347584,7,0,0,7,7
dcvc_rt,vvenc,-8.399742978112645,,,0.27890518881007903,0.13807753661984806,7,0,0,7,7
dcvc_rt,x264,259.9665007788311,,,0.42953482196037746,0.3920972676363504,7,0,0,7,7
dcvc_rt,x265,124.33935931825995,,,0.49267822472054607,0.28334114447226094,7,0,0,7,7
dcvc_rt_cuda,dcvc_dc,19.2917185931374,,,-0.9824333941184907,0.43514355463136617,7,0,0,7,7
dcvc_rt_cuda,dcvc_fm,-16.363176338513355,,,-0.9686357646331529,0.35856952629579036,7,0,0,7,7
dcvc_rt_cuda,dcvc_rt,-0.7623785099487198,,,-0.12127849705503009,0.047772357107800846,7,0,0,7,7
dcvc_rt_cuda,svtav1,153403803.47239918,,,0.25981782776076484,0.43240519834160057,7,0,0,7,7
dcvc_rt_cuda,vvenc,-8.600182620299826,,,0.18056630217215933,0.14093978973043333,7,0,0,7,7
dcvc_rt_cuda,x264,257.56741793197995,,,0.3508243131399862,0.3892344623444751,7,0,0,7,7
dcvc_rt_cuda,x265,123.18960147143251,,,0.4230028840947537,0.28076896730630957,7,0,0,7,7
svtav1,dcvc_dc,-40.92700126288522,,,-0.9864076472639318,0.7202494708954317,7,0,0,7,7
svtav1,dcvc_fm,-44.40619748716387,,,-0.9766403637527473,0.7166009036303184,7,0,0,7,7
svtav1,dcvc_rt,-45.886445066111385,,,-0.34917427340575585,0.4049983067891621,7,0,0,7,7
svtav1,dcvc_rt_cuda,-45.84473076444435,,,-0.25981782776076484,0.36017268485761855,7,0,0,7,7
svtav1,vvenc,-50.26011745699274,,,-0.10316142941703034,0.3283535982511601,7,0,0,7,7
svtav1,x264,84.58508492700678,,,0.09093415701336084,0.1831734296499319,7,0,0,7,7
svtav1,x265,22.393327520347704,,,0.19141869924890267,0.12557071497821362,7,0,0,7,7
vvenc,dcvc_dc,21.327471080996357,,,-0.9849006877456282,0.4721188097100311,7,0,0,7,7
vvenc,dcvc_fm,6.41818383102775,,,-0.9743457311998039,0.46570444413794526,7,0,0,7,7
vvenc,dcvc_rt,16.237945972461823,,,-0.27890518881007903,0.1758066838517332,7,0,0,7,7
vvenc,dcvc_rt_cuda,16.46012612796968,,,-0.18056630217215933,0.15751991026841355,7,0,0,7,7
vvenc,svtav1,239706512.09417012,,,0.10316142941703034,0.3110136824883253,7,0,0,7,7
vvenc,x264,310.8652231190112,,,0.18892474303932796,0.3025585526597267,7,0,0,7,7
vvenc,x265,161.0390491391042,,,0.28922646143872116,0.22679334279810504,7,0,0,7,7
x264,dcvc_dc,-67.68689331711735,,,-0.9886021394441432,0.9903488172566209,7,0,0,7,7
x264,dcvc_fm,-75.5252561190833,,,-0.9797051320517578,0.9839344516845351,7,0,0,7,7
x264,dcvc_rt,-53.06662787387578,,,-0.42953482196037746,0.6704379737409492,7,0,0,7,7
x264,dcvc_rt_cuda,-52.732198028018374,,,-0.3508243131399862,0.6266557278210456,7,0,0,7,7
x264,svtav1,1376352326.309038,,,-0.09093415701336084,0.280321786803467,7,0,0,7,7
x264,vvenc,-74.44786318084883,,,-0.18892474303932796,0.5190311793242476,7,0,0,7,7
x264,x265,-38.90141887987355,,,0.10904577150369676,0.13872767884301646,7,0,0,7,7
x265,dcvc_dc,-49.38433978957173,,,-0.9895227157284955,0.8751820736147167,7,0,0,7,7
x265,dcvc_fm,-55.833714097845125,,,-0.9815603726120442,0.8687677080426308,7,0,0,7,7
x265,dcvc_rt,-10.678947498084105,,,-0.49267822472054607,0.5554918775088102,7,0,0,7,7
x265,dcvc_rt_cuda,-9.81502653334793,,,-0.4230028840947537,0.5118283387396658,7,0,0,7,7
x265,svtav1,143323867.68756485,,,-0.19141869924890267,0.1906311495899493,7,0,0,7,7
x265,vvenc,-59.427104630926166,,,-0.28922646143872116,0.4037940733923338,7,0,0,7,7
x265,x264,75.56093424807163,,,-0.10904577150369676,0.15225612959983334,7,0,0,7,7
