codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
Ballé,q=1,actual_bitstream,0.11943072009095591,28.92841798067093,0.9284550088147322,0.9330588939289252,0.316175449717169,0.12774952438970402,0.9663105023403963,0.08774752825653796,0.43749390356242657,0.7598776544133822,0.7413550714651743,0.25725806535532075,4.143936126704026,113.16515074895506
Ballé,q=3,actual_bitstream,0.2656717818610037,32.27522031466166,0.9661797887335221,0.9663258486737808,0.20463706578205645,0.07525976995627082,0.9863118504484495,0.045001866237726014,0.5452300676455101,0.8723051752895117,0.8843734922508398,0.20640709732348717,37.50864176326652,112.82342827977725
Ballé,q=5,actual_bitstream,0.5364742274709086,35.60242714484533,0.9869444773842891,0.9847409172604481,0.11459992269131662,0.035618112112084974,0.9952073798825344,0.017296783325339928,0.6546743543197712,0.9432890520741543,0.9638567827641964,0.1576647762364397,63.4905708610361,118.16767975036176
Ballé,q=7,actual_bitstream,1.0322453610069844,39.221985816955566,0.9942047831912836,0.9929912146180868,0.05650795653248977,0.017893353477120347,0.9982714919994274,0.006734408627380573,0.7744701560586691,0.9781175442039967,0.9862453819562992,0.12313172019397216,78.29379197864489,197.12415217660842
Cheng,q=1,actual_bitstream,0.101796768418506,29.86705156167348,0.9372895720104376,0.9386930633336306,0.29345168739867705,0.12569379930694893,0.968578955779473,0.08406431208519882,0.4669108937184016,0.7794119864702225,0.7372252972175678,0.2551632627534369,8.199161011578669,16195.01673595778
Cheng,q=3,actual_bitstream,0.22046590596568105,32.77307101090749,0.9705070412407318,0.9688782126953205,0.18924658206136272,0.07504821754992004,0.9873620097835859,0.04214881218892207,0.5620805903648337,0.8809634962429603,0.8901605680584908,0.2043601397114495,40.74679333417912,16217.95817227121
Cheng,q=5,actual_bitstream,0.4702443159872544,35.93712532520294,0.9871490852286419,0.9850568833450476,0.10920464074782403,0.03975498924652731,0.9951596179356178,0.017671176892084334,0.6655818118403355,0.9452831192562977,0.9604844724138578,0.159890537460645,63.74426364236288,16220.82396368857
DCAE,lam=0.0035,actual_bitstream,0.1493956462502054,32.39588965972265,0.9623336618145307,0.9616199222703775,0.2022699339043659,0.08477922528982158,0.9819640486190716,0.0582296988383556,0.539352094133695,0.8547126439710458,0.8435798113544782,0.22137258263925708,30.26888075212473,424.3928118864157
DCAE,lam=0.013,actual_bitstream,0.34182788276519055,35.822880367437996,0.9843172325442234,0.982561411956946,0.11402465746505182,0.044954881692926045,0.9934996714194616,0.023866456128113542,0.6452271662031611,0.9333126240720352,0.9479791652411222,0.17171512264758346,58.735088561737406,423.70212704190635
ELIC,lam=0.008,actual_bitstream,0.06711850821725644,28.9902703166008,0.9179948469003042,0.9204256404191256,0.3211912479406843,0.14104206549624598,0.9545173911998669,0.10816580771158135,0.4300951274732749,0.7327244654297829,0.6531988571708401,0.27624827033529675,-7.830872374041335,375.43679757315357
ELIC,lam=0.032,actual_bitstream,0.16482137933732588,32.09019994735718,0.9611910947908958,0.9605954842021068,0.21059816008588916,0.08632611234982805,0.9813996845235428,0.05730466065385064,0.5288247475400567,0.849383627374967,0.8463167138397694,0.22390728195508317,29.47243498561504,382.5817596555983
ELIC,lam=0.150,actual_bitstream,0.39306821019408544,35.82518277565638,0.9849719808747371,0.9831084044029316,0.11439377484687911,0.04194224563737706,0.993909946953257,0.021907336127090532,0.6475885758797327,0.936110765983661,0.9530767022321621,0.16851776357119277,60.12694412273073,393.8134486355314
ELIC,lam=0.450,actual_bitstream,0.6807009373241222,38.59832147757212,0.9923705048859119,0.9909613840281963,0.06658869561700456,0.02303229458630081,0.9973276021579901,0.00987874762116306,0.7347438288852572,0.968969672297438,0.9808316448082527,0.13640518346801397,73.87620825539729,403.0361981769299
HEVC,crf=45,end_to_end,0.11567681967595915,27.94294277826945,0.9100809277345737,0.9138622948278984,0.30645907064899797,0.11003856485088663,0.9626114368438721,0.08683584366614616,0.38220226174841326,0.718858410914739,0.7761806131651005,0.27178019797429437,-6.240686571293502,125.28958184409096
HEVC,crf=35,end_to_end,0.4140276010287934,33.224244157473244,0.972731273000439,0.9712946210056543,0.1197708271987115,0.03994025972982243,0.9920334642132124,0.02443030169039649,0.5955339732269446,0.8989126657446226,0.9601418282836676,0.18435100698843596,51.12268485109769,163.64131750977626
HEVC,crf=25,end_to_end,1.215469740785619,39.03589256604513,0.9927493159969648,0.9915894189228615,0.024686819558458663,0.009625176588694204,0.99861356181403,0.004150871529418458,0.7985252651075522,0.9787477410087982,0.9943955863515536,0.11732447403483089,80.49994780545818,233.7937145308994
HEVC,crf=15,end_to_end,2.9581202593835054,44.81332004070282,0.9981167837977409,0.9976737654457489,0.003550070960651838,0.0021272667994101367,0.9997054530928532,0.0007683246512896844,0.9363613768170277,0.9962891731411219,0.9988125090797743,0.07794249729098127,91.36696914321493,342.22104136472353
JPEG,q=10,end_to_end,0.29553149685733077,27.628507375717163,0.905245071897904,0.904402328034242,0.3280874661480387,0.11851427890360351,0.9627872401227554,0.08440676835986471,0.35160446508477133,0.6855841353535652,0.6499647057304779,0.27849904075264925,-13.79827988066662,3.9158414165569866
JPEG,q=30,end_to_end,0.5756408840782713,31.657128115495045,0.9675476333747307,0.964901510005196,0.14059000974521038,0.039825990796089124,0.9922659527510405,0.020978354761609756,0.5330158434808254,0.8964750344554583,0.9422937544683615,0.18536853619540727,47.39470357147119,4.544972635301292
JPEG,q=60,end_to_end,0.8988494330569075,33.992901722590126,0.9833632688969374,0.980675691117843,0.07233071158407252,0.019003504266341478,0.9970700039217869,0.007946122258241853,0.6324597305307785,0.9516766220331192,0.9853919309874376,0.1453799062874168,67.32035781480151,5.151434292334518
JPEG,q=85,end_to_end,1.6007018474979484,37.12926604350408,0.992620887234807,0.9904436568419138,0.02521262018126431,0.007976216574509882,0.9991359213987986,0.002189610075826395,0.7466838142524163,0.9825414605438709,0.9973581625769535,0.10999964596703644,81.1411053295626,6.306844749881672
JPEG_AI,target_bpp=0.15,end_to_end,0.153160824330138,30.164366563161213,0.9526748315741619,0.9530813874055942,0.24540829055088878,0.07165121225019291,0.9827576739092668,0.04704846479095668,0.5039112830224136,0.8199114836752415,0.9165515806525946,0.20996938459575173,31.999086828488505,24371.195554499234
JPEG_AI,target_bpp=0.25,end_to_end,0.25993879730900893,32.108647306760155,0.9689232601473728,0.9689545345803102,0.17778739856051587,0.04808278319736317,0.9903220441192389,0.026315363524190564,0.5757955210283399,0.8798027007530133,0.9596014935523272,0.18039797999275223,49.36444717642195,24495.88856543778
JPEG_AI,target_bpp=0.35,end_to_end,0.35507707242327574,33.39550071954727,0.9768992643803358,0.9762822488943735,0.14012290144940678,0.037510575726628255,0.9936559945344925,0.017284960053075286,0.619869175987939,0.9111307356506586,0.9747217930853367,0.16306265598783887,58.12029831714824,23976.862968156336
JPEG_AI,target_bpp=0.5,end_to_end,0.5014016239078786,34.875393291314445,0.9832138021787008,0.9821787917365631,0.10562767617132822,0.02813244797289367,0.9960103419919809,0.011093821700948516,0.6647107147922119,0.9382885172963142,0.9839881105969349,0.14453216719751552,66.2879213729306,24133.883829635277
JPEG_AI,target_bpp=0.75,end_to_end,0.7686095167002334,36.949009815851845,0.9894157263139883,0.9882706881811222,0.06560949795190628,0.017811628058552697,0.9978113304823637,0.006048250622370636,0.7242163329695662,0.9646371137350798,0.9915958996862173,0.12090993579477068,75.29248647319767,23970.819000259628
JPEG_AI,target_bpp=1.0,end_to_end,0.9985953837993068,38.14237250884374,0.9924320721377929,0.9913384299725294,0.04372891557917072,0.012470360845327329,0.9986094906926155,0.003917885666548145,0.7608160072316726,0.9765206178029379,0.9949457061787447,0.10813742938141024,79.68754841617768,23461.110215332305
JXL,d=12.0,end_to_end,0.2014622941915655,29.279503762722015,0.9386837463825941,0.939655689522624,0.2941261706873774,0.09155047188202536,0.9770045758535465,0.07046992153239742,0.47029203455895185,0.7972861292461554,0.8224554595847925,0.2255828510969877,24.890883432343013,152.98735782230702
JXL,d=7.0,end_to_end,0.3090351133498386,31.08057900269826,0.9602212700992823,0.9600490511705478,0.21079476876184342,0.06493722150723134,0.9872282793124517,0.04384160736420497,0.5459324019029737,0.8635770517090956,0.902542152752479,0.1956032998859882,44.62975559840706,155.78526406307938
JXL,d=3.0,end_to_end,0.606788404368804,34.16632994016012,0.9810504851241907,0.9797558610637983,0.09980628278572108,0.026884283249576844,0.9958178885281086,0.015427436170284586,0.6532828609148661,0.9392493596921364,0.9755505279948314,0.15240762398267782,69.2751511508509,122.55540016560455
JXL,d=1.0,end_to_end,1.371860389497532,38.179173628489174,0.9917405073841413,0.990583843862017,0.03197272354736919,0.009301612774531,0.9989934048304955,0.004037654918647555,0.8125217898438374,0.9819736083348592,0.9944696916888157,0.11099056061357256,85.18155881602927,134.00761322978383
TCM,lam=0.0035,actual_bitstream,0.17132823074296868,32.3992555141449,0.9634616517772278,0.9626433812081814,0.20044518568708247,0.08183183024326955,0.9824605931838354,0.05530548318832487,0.5366129477818807,0.8553958473106226,0.8575409234811863,0.21980418978879845,31.67877642126724,351.32962338487533
TCM,lam=0.013,actual_bitstream,0.358441595266814,35.47264224290848,0.9838673857351145,0.9819353943069776,0.11862175251978135,0.04331990207235014,0.9933685082942247,0.02385138071258547,0.6349393998583158,0.9303228867550691,0.9504986157019933,0.1718701610031227,58.18173114694872,356.57992976045233
